[START] Reading GenBank input...
[START] Loaded 1 record(s).
[RECORD] Processing record 1/1: 1
[CHANGED] standard_name=dnaA CDS | location=635-2054(+) | final_gene=dnaA | final_product=chromosomal replication initiator protein DnaA | resolution=no_change
[CHANGED] standard_name=glyQ gene | location=3455316-3456210(-) | final_gene=glyQ | final_product=glyQ gene | resolution=no_change
[CHANGED] standard_name=ABC transporter permease CDS | location=3461744-3462551(+) | final_gene=modB | final_product=ABC transporter permease | resolution=uniprot_product_to_gene:modB:45,cysW:33,ntrB:9
[CHANGED] standard_name=ABC transporter ATP-binding protein CDS | location=3462703-3464140(+) | final_gene=cbiO | final_product=ABC transporter ATP-binding protein | resolution=uniprot_product_to_gene:cbiO:20,yfmR:18,salX:12,hlyB:6,ecfA1:5
[UNRESOLVED] standard_name=sulfotransferase family protein CDS | location=3464274-3465351(+) | final_gene=unknown_gene | final_product=sulfotransferase family protein | resolution=fallback_unknown_gene
[CHANGED] standard_name=glycosyltransferase CDS | location=3465362-3466481(+) | final_gene=ftsW | final_product=glycosyltransferase | resolution=uniprot_product_to_gene:ftsW:78,spoVE:3
[UNRESOLVED] standard_name=sulfotransferase domain-containing protein CDS | location=3466630-3467419(+) | final_gene=unknown_gene | final_product=sulfotransferase domain-containing protein | resolution=fallback_unknown_gene
[UNRESOLVED] standard_name=four-carbon acid sugar kinase family protein CDS | location=3467550-3468909(+) | final_gene=unknown_gene | final_product=four-carbon acid sugar kinase family protein | resolution=fallback_unknown_gene
[CHANGED] standard_name=pentapeptide repeat-containing protein CDS | location=3469347-3470574(+) | final_gene=unk5 | final_product=pentapeptide repeat-containing protein | resolution=uniprot_product_to_gene:unk5:15
[UNCHANGED] standard_name=gatA CDS | location=3470894-3472358(+) | final_gene=gatA | final_product=Glutamyl-tRNA(Gln) amidotransferase subunit A | resolution=no_change
[CHANGED] standard_name=gatA gene | location=3470894-3472358(+) | final_gene=gatA | final_product=gatA gene | resolution=no_change
[UNRESOLVED] standard_name=sirohydrochlorin chelatase CDS | location=3472391-3473180(+) | final_gene=unknown_gene | final_product=sirohydrochlorin chelatase | resolution=fallback_unknown_gene
[CHANGED] standard_name=tkt CDS | location=3473393-3475403(-) | final_gene=tkt | final_product=transketolase | resolution=no_change
[UNRESOLVED] standard_name=agmatinase family protein CDS | location=3476425-3477604(+) | final_gene=unknown_gene | final_product=agmatinase family protein | resolution=fallback_unknown_gene
[UNCHANGED] standard_name=hypA CDS | location=3477713-3478103(+) | final_gene=hypA | final_product=Hydrogenase maturation factor HypA | resolution=no_change
[CHANGED] standard_name=hypA gene | location=3477713-3478103(+) | final_gene=hypA | final_product=hypA gene | resolution=no_change
[CHANGED] standard_name=hypB 2 CDS | location=3478365-3479094(+) | final_gene=hypB | final_product=Hydrogenase maturation factor HypB | resolution=uniprot_product_to_gene:hypB:20
[CHANGED] standard_name=hypB gene | location=3478365-3479094(+) | final_gene=hypB | final_product=hypB gene | resolution=no_change
[CHANGED] standard_name=ABC transporter substrate-binding protein CDS | location=3479291-3480338(+) | final_gene=modA | final_product=ABC transporter substrate-binding protein | resolution=uniprot_product_to_gene:modA:126,proX:12,zam:6,urtA:5
[CHANGED] standard_name=ABC transporter permease CDS | location=3480552-3481410(+) | final_gene=modB | final_product=ABC transporter permease | resolution=uniprot_product_to_gene:modB:45,cysW:33,ntrB:9
[CHANGED] standard_name=ABC transporter ATP-binding protein CDS | location=3481558-3482353(+) | final_gene=cbiO | final_product=ABC transporter ATP-binding protein | resolution=uniprot_product_to_gene:cbiO:20,yfmR:18,salX:12,hlyB:6,ecfA1:5
[UNRESOLVED] standard_name=tRNA (5-methylaminomethyl-2-thiouridine)(34)-methyltransferase MnmD CDS | location=3482806-3483835(-) | final_gene=unknown_gene | final_product=tRNA (5-methylaminomethyl-2-thiouridine)(34)-methyltransferase MnmD | resolution=fallback_unknown_gene
[UNRESOLVED] standard_name=response regulator transcription factor CDS | location=3483873-3484236(-) | final_gene=unknown_gene | final_product=response regulator transcription factor | resolution=fallback_unknown_gene
[CHANGED] standard_name=response regulator CDS | location=3484772-3486041(-) | final_gene=cheB | final_product=response regulator | resolution=uniprot_product_to_gene:cheB:18,nblR:6,ompR:6,phoB:6,mprA:3
[CHANGED] standard_name=chemotaxis protein CheW CDS | location=3486265-3486808(-) | final_gene=cheW | final_product=chemotaxis protein CheW | resolution=uniprot_product_to_gene:cheW:15
[CHANGED] standard_name=argF CDS | location=3488001-3488937(-) | final_gene=argF | final_product=ornithine carbamoyltransferase | resolution=no_change
[UNRESOLVED] standard_name=Crp/Fnr family transcriptional regulator CDS | location=3489224-3489716(-) | final_gene=unknown_gene | final_product=Crp/Fnr family transcriptional regulator | resolution=fallback_unknown_gene
[UNRESOLVED] standard_name=HEAT repeat domain-containing protein CDS | location=3489936-3490602(-) | final_gene=unknown_gene | final_product=HEAT repeat domain-containing protein | resolution=fallback_unknown_gene
[UNRESOLVED] standard_name=DUF3611 family protein CDS | location=3490860-3491448(-) | final_gene=unknown_gene | final_product=DUF3611 family protein | resolution=fallback_unknown_gene
[UNRESOLVED] standard_name=cofactor assembly of complex C subunit B CDS | location=3491620-3492163(+) | final_gene=unknown_gene | final_product=cofactor assembly of complex C subunit B | resolution=fallback_unknown_gene
[UNCHANGED] standard_name=leuS CDS | location=3494055-3496644(-) | final_gene=leuS | final_product=Leucine--tRNA ligase | resolution=no_change
[CHANGED] standard_name=leuS gene | location=3494055-3496644(-) | final_gene=leuS | final_product=leuS gene | resolution=no_change
[UNRESOLVED] standard_name=Uma2 family endonuclease CDS | location=3496735-3497230(+) | final_gene=unknown_gene | final_product=Uma2 family endonuclease | resolution=fallback_unknown_gene
[UNRESOLVED] standard_name=Uma2 family endonuclease CDS | location=3497235-3497865(+) | final_gene=unknown_gene | final_product=Uma2 family endonuclease | resolution=fallback_unknown_gene
[CHANGED] standard_name=crtH CDS | location=3497892-3499449(-) | final_gene=crtH | final_product=carotenoid isomerase | resolution=no_change
[UNCHANGED] standard_name=upp CDS | location=3500308-3500962(+) | final_gene=upp | final_product=Uracil phosphoribosyltransferase | resolution=no_change
[CHANGED] standard_name=upp gene | location=3500308-3500962(+) | final_gene=upp | final_product=upp gene | resolution=no_change
[UNRESOLVED] standard_name=tRNA-Pro gene | location=3501816-3501890(+) | final_gene=unknown_gene | final_product=tRNA-Pro gene | resolution=fallback_unknown_gene
[UNCHANGED] standard_name=folP CDS | location=3502231-3503185(+) | final_gene=folP | final_product=Dihydropteroate synthase | resolution=no_change
[CHANGED] standard_name=folP gene | location=3502231-3503185(+) | final_gene=folP | final_product=folP gene | resolution=no_change
[CHANGED] standard_name=pentapeptide repeat-containing protein CDS | location=3503163-3505356(+) | final_gene=unk5 | final_product=pentapeptide repeat-containing protein | resolution=uniprot_product_to_gene:unk5:15
[UNRESOLVED] standard_name=Uma2 family endonuclease CDS | location=3508086-3508638(-) | final_gene=unknown_gene | final_product=Uma2 family endonuclease | resolution=fallback_unknown_gene
[UNRESOLVED] standard_name=IS5 family transposase ISMac15 CDS | location=3509321-3509690(+) | final_gene=unknown_gene | final_product=IS5 family transposase ISMac15 | resolution=fallback_unknown_gene
[CHANGED] standard_name=rpsN CDS | location=3509858-3510161(-) | final_gene=rpsN | final_product=30S ribosomal protein S14 | resolution=no_change
[UNRESOLVED] standard_name=glycosyltransferase family 39 protein CDS | location=3510351-3513051(-) | final_gene=unknown_gene | final_product=glycosyltransferase family 39 protein | resolution=fallback_unknown_gene
[UNRESOLVED] standard_name=polysaccharide deacetylase family protein CDS | location=3513805-3514918(-) | final_gene=unknown_gene | final_product=polysaccharide deacetylase family protein | resolution=fallback_unknown_gene
[UNRESOLVED] standard_name=cysteine desulfurase family protein CDS | location=3515849-3517031(-) | final_gene=unknown_gene | final_product=cysteine desulfurase family protein | resolution=fallback_unknown_gene
[UNRESOLVED] standard_name=MgtC/SapB family protein CDS | location=3517071-3517539(-) | final_gene=unknown_gene | final_product=MgtC/SapB family protein | resolution=fallback_unknown_gene
[CHANGED] standard_name=folK CDS | location=3517867-3518404(+) | final_gene=folK | final_product=2-amino-4-hydroxy-6-hydroxymethyldihydropteridin e diphosphokinase | resolution=no_change
[UNCHANGED] standard_name=Methanol dehydrogenase activator CDS | location=3518423-3518978(+) | final_gene=act | final_product=Methanol dehydrogenase activator | resolution=no_change
[UNRESOLVED] standard_name=FAD-binding domain-containing protein CDS | location=3521043-3522462(+) | final_gene=unknown_gene | final_product=FAD-binding domain-containing protein | resolution=fallback_unknown_gene
[UNRESOLVED] standard_name=type II toxin-antitoxin system VapC family toxin CDS | location=3522511-3522919(-) | final_gene=unknown_gene | final_product=type II toxin-antitoxin system VapC family toxin | resolution=fallback_unknown_gene
[UNRESOLVED] standard_name=glutamate synthase-related protein CDS | location=3524179-3528841(-) | final_gene=unknown_gene | final_product=glutamate synthase-related protein | resolution=fallback_unknown_gene
[CHANGED] standard_name=carbon dioxide-concentrating mechanism protein CcmK CDS | location=3529775-3530087(+) | final_gene=ccmK | final_product=carbon dioxide-concentrating mechanism protein CcmK | resolution=uniprot_product_to_gene:ccmK:186,ccmK1:3,ccmK2:2,ccmK4:2,cchA:1
[UNRESOLVED] standard_name=Uma2 family endonuclease CDS | location=3530364-3530970(+) | final_gene=unknown_gene | final_product=Uma2 family endonuclease | resolution=fallback_unknown_gene
[UNRESOLVED] standard_name=putative quinol monooxygenase CDS | location=3531100-3531394(-) | final_gene=unknown_gene | final_product=putative quinol monooxygenase | resolution=fallback_unknown_gene
[CHANGED] standard_name=response regulator CDS | location=3531445-3532135(-) | final_gene=cheB | final_product=response regulator | resolution=uniprot_product_to_gene:cheB:18,nblR:6,ompR:6,phoB:6,mprA:3
[CHANGED] standard_name=sensor histidine kinase CDS | location=3532115-3533240(-) | final_gene=sasA | final_product=sensor histidine kinase | resolution=uniprot_product_to_gene:sasA:152,hik2:6,rppB:3
[CHANGED] standard_name=kdpA CDS | location=3536024-3537665(+) | final_gene=kdpA | final_product=potassium-transporting ATPase subunit KdpA | resolution=no_change
[CHANGED] standard_name=kdpB CDS | location=3537794-3539885(+) | final_gene=kdpB | final_product=potassium-transporting ATPase subunit KdpB | resolution=no_change
[CHANGED] standard_name=potassium-transporting ATPase subunit F CDS | location=3539975-3540227(+) | final_gene=kdpF | final_product=potassium-transporting ATPase subunit F | resolution=uniprot_product_to_gene:kdpF:5
[UNCHANGED] standard_name=kdpC CDS | location=3540230-3540812(+) | final_gene=kdpC | final_product=Potassium-transporting ATPase KdpC subunit | resolution=no_change
[CHANGED] standard_name=kdpC gene | location=3540230-3540812(+) | final_gene=kdpC | final_product=kdpC gene | resolution=no_change
[CHANGED] standard_name=cyclic nucleotide-binding domain-containing protein CDS | location=3540967-3543817(+) | final_gene=OspT1 | final_product=cyclic nucleotide-binding domain-containing protein | resolution=uniprot_product_to_gene:OspT1:10
[UNRESOLVED] standard_name=TldD/PmbA family protein CDS | location=3543981-3545355(-) | final_gene=unknown_gene | final_product=TldD/PmbA family protein | resolution=fallback_unknown_gene
[UNRESOLVED] standard_name=GuaB3 family IMP dehydrogenase-related protein CDS | location=3545770-3546934(+) | final_gene=unknown_gene | final_product=GuaB3 family IMP dehydrogenase-related protein | resolution=fallback_unknown_gene
[CHANGED] standard_name=efp 2 CDS | location=3548376-3548943(+) | final_gene=efp | final_product=Elongation factor P | resolution=uniprot_product_to_gene:efp:995
[CHANGED] standard_name=nitrate ABC transporter ATP-binding protein CDS | location=3549095-3549935(-) | final_gene=nrtC | final_product=nitrate ABC transporter ATP-binding protein | resolution=uniprot_product_to_gene:nrtC:5
[CHANGED] standard_name=nitrate ABC transporter ATP-binding protein CDS | location=3550027-3552025(-) | final_gene=nrtC | final_product=nitrate ABC transporter ATP-binding protein | resolution=uniprot_product_to_gene:nrtC:5
[CHANGED] standard_name=ntrB CDS | location=3552105-3552942(-) | final_gene=ntrB | final_product=nitrate ABC transporter permease | resolution=no_change
[UNRESOLVED] standard_name=CmpA/NrtA family ABC transporter substrate-binding protein CDS | location=3553047-3554424(-) | final_gene=unknown_gene | final_product=CmpA/NrtA family ABC transporter substrate-binding protein | resolution=fallback_unknown_gene
[UNRESOLVED] standard_name=murein transglycosylase A CDS | location=3555830-3556928(+) | final_gene=unknown_gene | final_product=murein transglycosylase A | resolution=fallback_unknown_gene
[CHANGED] standard_name=murD CDS | location=3557653-3559024(+) | final_gene=murD | final_product=UDP-N-acetylmuramoyl-L-alanine--D-glutamate ligase | resolution=no_change
[CHANGED] standard_name=DNA methyltransferase CDS | location=3559045-3561796(-) | final_gene=dam | final_product=DNA methyltransferase | resolution=uniprot_product_to_gene:dam:3,dmnB:3,hsdM:3,mbpA:3,pglX:3
[UNRESOLVED] standard_name=TIGR01548 family HAD-type hydrolase CDS | location=3561892-3562687(-) | final_gene=unknown_gene | final_product=TIGR01548 family HAD-type hydrolase | resolution=fallback_unknown_gene
[CHANGED] standard_name=30S ribosomal protein PSRP-3 CDS | location=3562957-3563257(+) | final_gene=mut3G | final_product=30S ribosomal protein PSRP-3 | resolution=uniprot_product_to_gene:mut3G:1
[UNRESOLVED] standard_name=agmatine deiminase family protein CDS | location=3563502-3564543(+) | final_gene=unknown_gene | final_product=agmatine deiminase family protein | resolution=fallback_unknown_gene
[CHANGED] standard_name=aguB CDS | location=3565402-3566263(+) | final_gene=aguB | final_product=N-carbamoylputrescine amidase | resolution=no_change
[UNRESOLVED] standard_name=S-adenosyl-l-methionine hydroxide adenosyltransferase family protein CDS | location=3567031-3567877(+) | final_gene=unknown_gene | final_product=S-adenosyl-l-methionine hydroxide adenosyltransferase family protein | resolution=fallback_unknown_gene
